"Ticker","Company Name","ISIN Code","CUSIP Number"
"KIM","Kimco Realty","US49446R1095","000886286"
"DD","DuPont","US2635341090","000943499"
"WU","Western Union Co.","US9598021098","000953878"
"TRV","The Travelers Companies","US89417E1091","00101J106"
"EOG","EOG Resources","US26875P1012","001055102"
"XEC","Cimarex Energy","US1717981013","001082411"
"HSY","The Hershey Company","US4278661081","001103120"
"SIG","Signet Jewelers Limited","BMG812761002","001204106"
"STI","SunTrust Banks","US8679141031","00130H105"
"ADBE","Adobe Systems Inc.","US00724F1012","00206R102"
"BLK","BlackRock","US09247X1019","002824100"
"APA","Apache Corporation","US0374111054","00287Y109"
"CVS","CVS Caremark Corp.","US1266501006","004432874"
"URBN","Urban Outfitters","US9170471026","004826551"
"KMX","Carmax Inc.","US1431301027","00507V109"
"CLX","The Clorox Company","US1890541097","00724F101"
"LLY","Eli Lilly and Co.","US5324571083","00751Y106"
"CNX","Consol Energy Inc.","US20854P1093","00817Y108"
"PEP","PepsiCo Inc.","US7134481081","008252108"
"MRO","Marathon Oil Corp.","US5658491064","00846U101"
"ETFC","E*Trade Financial Corp.","US2692464017","009158106"
"SYY","Sysco Corp.","US8718291078","009363102"
"MDT","Medtronic Inc.","IE00BTN1Y115","00971T101"
"BK","BNY Mellon","US0640581007","00B4BNMY3"
"VZ","Verizon Communications","US92343V1044","00B4VLR19"
"LM","Legg Mason","US5249011058","00B58JVZ5"
"ETR","Entergy Corp.","US29364G1031","00B5BT0K0"
"NEM","Newmont Mining Corp.","US6516391066","00B5LRLL2"
"LMCA","Liberty Media Corp Series A","US5312291025","00B633030"
"FOSL","Fossil, Inc.","US34988V1061","00B783TY6"
"EXPD","Expeditors Int'l","US3021301094","00B8KQN82"
"XRX","Xerox Corp.","US9841211033","00B8W6766"
"WMB","Williams Companies","US9694571004","00B8W67B1"
"SCG","SCANA Corp.","US80589M1027","00BBGT375"
"TMO","Thermo Fisher Scientific","US8835561023","00BFRT3W7"
"FISV","Fiserv Inc","US3377381088","00BGH1M56"
"LEG","Leggett & Platt","US5246601075","00BJ3V905"
"PPG","PPG Industries","US6935061076","00BLS09M3"
"LBTYA","Liberty Global Plc Class A","GB00B8W67662","00BQRQXQ9"
"ZTS","Zoetis, Inc.","US98978V1035","00BTC0M71"
"ZION","Zions Bancorp","US9897011071","00BTC0MD7"
"ANTM","Anthem Inc.","US0367521038","00BTN1Y11"
"HUM","Humana Inc.","US4448591028","00BWFY550"
"AME","Ametek","US0311001004","00BY9D546"
"EW","Edwards Lifesciences","US28176E1082","010299318"
"UPS","United Parcel Service","US9113121068","011440532"
"MON","Monsanto Co.","US61166W1018","013817101"
"CSCO","Cisco Systems","US17275R1023","015351109"
"IBM","IBM Corp.","US4592001014","018581108"
"FB","Facebook, Inc.","US30303M1027","020002101"
"KORS","Michael Kors Holdings","VGG607541015","021441100"
"AMT","American Tower Corp.","US03027X1000","02209S103"
"ACN","Accenture plc","IE00B4BNMY34","023135106"
"OKE","ONEOK, Inc.","US6826801036","023608102"
"EA","Electronic Arts","US2855121099","02376R102"
"DOW","Dow Chemical","US2605431038","025537101"
"BIIB","Biogen Idec, Inc.","US09062X1037","025816109"
"BAX","Baxter International Inc.","US0718131099","026874784"
"COP","ConocoPhillips","US20825C1045","03027X100"
"GME","GameStop Corp.","US36467W1099","03073E105"
"GLW","Corning Inc.","US2193501051","03076C106"
"M","Macy's Inc.","US55616P1049","031100100"
"AMP","Ameriprise Financial","US03076C1062","031162100"
"JBHT","J.B. Hunt Transport Services, Inc.","US4456581077","032095101"
"DIS","The Walt Disney Co.","US2546871060","032511107"
"HRB","H&R Block, Inc.","US0936711052","032654105"
"COST","Costco Co.","US22160K1051","036752103"
"KEY","KeyCorp","US4932671088","037411105"
"SWN","Southwestern Energy","US8454671095","03748R101"
"A","Agilent Technologies Inc.","US00846U1016","037833100"
"HES","Hess Corporation","US42809H1077","038222105"
"EL","Estee Lauder Cos.","US5184391044","039483102"
"TSS","Total System Services","US8919061098","04621X108"
"PDCO","Patterson Companies","US7033951036","052769106"
"COG","Cabot Oil & Gas","US1270971039","053015103"
"UAL","United Continental Holdings, Inc.","US9100471096","05329W102"
"FCX","Freeport-McMoRan Inc.","US35671D8570","053332102"
"FDX","FedEx Corporation","US31428X1063","053484101"
"TXT","Textron Inc.","US8832031012","053611109"
"DPS","Dr Pepper Snapple Group","US26138E1091","054937107"
"WHR","Whirlpool Corp.","US9633201069","056752108"
"FLS","Flowserve Corporation","US34354P1057","057224107"
"R","Ryder System","US7835491082","058498106"
"ADT","ADT Corp.","US00101J1060","060505104"
"CHRW","C. H. Robinson Worldwide","US12541W2098","064058100"
"KSU","Kansas City Southern","US4851703029","067383109"
"HPQ","Hewlett-Packard Co","US4282361033","07177M103"
"HIG","Hartford Financial Services","US4165151048","071813109"
"DTE","DTE Energy Co.","US2333311072","075887109"
"PBI","Pitney-Bowes","US7244791007","075896100"
"ABBV","AbbVie Inc.","US00287Y1091","084670702"
"NI","NiSource Inc.","US65473P1057","086516101"
"WYNN","Wynn Resorts Ltd.","US9831341071","09061G101"
"BEN","Franklin Resources","US3546131018","09062X103"
"COH","Coach Inc.","US1897541041","09247X101"
"PCLN","Priceline.com Inc","US7415034039","093671105"
"AVB","AvalonBay Communities","US0534841012","097023105"
"PCP","Precision Castparts","US7401891053","099724106"
"HAL","Halliburton Co.","US4062161017","101121101"
"FLIR","FLIR Systems","US3024451011","101137107"
"AN","AutoNation Inc.","US05329W1027","110122108"
"DO","Diamond Offshore Drilling","US25271C1027","111320107"
"NSC","Norfolk Southern Corp.","US6558441084","115637209"
"HCN","Health Care REIT, Inc.","US95040Q1040","124857202"
