date,SPY,VIX,AAPL,MSFT,XOM,JNJ,GE,BRK.B,AMZN,WFC,JPM,T,SPDR S&P 500 ETF Trust,CBOE Volatility Index,Apple Inc.,Microsoft Corp.,Exxon Mobil Corp.,Johnson & Johnson,General Electric Co.,Berkshire Hathaway Inc. Cl B,Amazon.com Inc.,Wells Fargo & Co.,JPMorgan Chase & Co.,AT&T Inc.
2000/01/01,-22,0,0,0,0,0,-9,0,0,0,0,-33,-56,-8,-10,-8,20,-18,-34,-26,-16,-9,-14,-24
2000/02/01,2,0,0,0,0,0,0,0,0,0,0,-63,-20,-15,-33,-3,-9,-78,-42,-32,-45,-31,-21,-68
2000/03/01,-35,0,0,0,0,0,-4,0,0,0,0,-21,-74,-45,-20,-27,-13,-2,-44,-41,-25,-22,-22,-39
2000/04/01,-17,0,0,0,0,0,-13,0,0,0,0,-32,-23,-33,-8,-34,-17,-14,-27,-11,-13,-23,-18,-19
2000/05/01,-13,0,0,0,0,0,-8,0,0,0,0,-4,5,-8,-19,-33,-9,-8,-18,-20,-26,-17,-16,-35
2000/06/01,-32,0,0,0,0,0,-35,0,0,0,0,-40,-39,-27,-21,-79,-8,-51,-7,-17,-29,-34,-35,-12
2000/07/01,-22,0,0,0,0,0,-22,0,0,0,0,-24,-4,-28,-8,-11,-5,-41,-22,-18,-14,-14,-19,-25
2000/08/01,-68,0,0,0,0,0,-10,0,0,0,0,-42,-29,-22,-25,-3,2,-31,-43,-22,-30,-44,-34,-42
2000/09/01,-36,0,0,0,0,0,-25,0,0,0,0,4,-7,-33,-27,-34,-24,1,-13,-16,-28,-17,-14,2
2000/10/01,-48,0,0,0,0,0,-28,0,0,0,0,-33,-2,-15,-23,-15,-27,-29,-12,-13,-24,-11,-6,-32
2000/11/01,-29,0,0,0,0,0,-39,0,1,0,0,-21,-30,-32,-39,-2,-33,0,-49,-35,-37,-51,-50,-30
2000/12/01,-15,0,0,0,0,0,-31,0,0,0,0,-16,-19,-39,-10,-20,-36,-21,-29,-10,-14,-28,-35,-18
2001/01/01,-43,0,0,0,0,0,-32,0,0,0,0,-26,-25,-60,-20,-18,4,-6,-64,-4,-20,-27,-36,-27
2001/02/01,-61,0,0,0,0,0,-36,0,0,0,0,-36,-19,-53,-35,-37,-8,-13,-18,-19,-40,-38,-23,-33
2001/03/01,-18,0,0,0,0,0,-22,0,0,0,0,-6,-68,-10,3,-30,-13,-18,-18,-5,2,-23,-21,-6
2001/04/01,-28,0,0,0,0,0,6,0,0,0,0,-10,-29,-17,-60,-14,-12,-23,-37,-35,-60,-17,-25,-39
2001/05/01,-56,0,0,0,0,0,-19,0,0,0,0,-22,-34,-47,-41,-16,-13,-7,-25,-33,-47,-20,-12,-26
2001/06/01,-46,-10,0,0,0,0,-34,0,0,0,0,-4,-3,-30,-16,-51,-25,-31,-16,-9,-24,2,5,-12
2001/07/01,-34,0,0,0,0,0,-1,0,0,0,0,-33,-19,-17,-41,-30,-29,-34,-54,-30,-53,-52,-54,-36
2001/08/01,-39,0,0,0,0,0,-22,0,0,0,0,-29,-17,-61,-46,-65,-15,-31,-28,-41,-46,-9,-20,-38
2001/09/01,-36,0,0,0,0,0,-27,0,0,0,0,-21,-11,-61,-6,-26,-13,-43,-24,-10,-5,-18,-12,-8
2001/10/01,-29,0,0,0,0,0,-39,0,0,0,0,-30,-46,-28,-29,-23,-15,-24,-49,-35,-25,-12,-21,-30
2001/11/01,-11,0,0,0,0,0,-33,0,0,0,0,-32,-22,-54,-34,-11,-21,-34,-20,-28,-31,-39,-51,-42
2001/12/01,-44,0,0,0,0,0,-1,0,0,0,0,-8,-6,-49,-20,-52,-17,-13,-22,-9,-20,-22,-19,-11
2002/01/01,-43,0,0,0,0,0,-55,0,0,0,0,-59,-18,-48,-22,-22,-21,-4,-61,-41,-23,-38,-36,-55
2002/02/01,-34,0,0,0,0,0,-48,0,0,0,0,-16,-44,-42,-25,-23,-14,-22,-32,-45,-27,-20,-40,-22
2002/03/01,-4,0,0,0,0,0,-37,0,0,0,-13,-14,-38,-4,-7,-19,-29,-52,-41,-16,-2,-17,-19,-10
2002/04/01,-57,0,0,0,0,0,-44,0,0,0,0,-28,-40,-16,-54,-49,-4,-13,-31,-68,-58,-28,-24,-36
2002/05/01,-94,0,0,-1,0,0,-6,0,0,0,0,-37,-55,-29,-38,-12,6,-27,-81,-73,-43,-52,-51,-44
2002/06/01,-10,0,0,0,0,0,-8,0,0,0,0,-16,-18,-8,-8,-27,-30,-23,-11,-50,-5,-23,-21,-21
2002/07/01,-28,0,0,0,0,0,-41,0,0,0,0,-28,-35,-49,-39,-19,-17,-23,-46,-63,-40,-70,-62,-26
2002/08/01,-21,0,0,0,0,0,-32,0,0,0,0,-17,-6,-42,-17,-38,-27,-14,-15,-20,-9,-7,-7,-24
2002/09/01,-14,0,0,0,0,0,-11,0,0,0,0,-2,-31,-13,-24,-10,-18,-21,-11,-25,-24,-20,-18,-17
2002/10/01,-44,0,0,0,0,0,-37,0,0,0,0,-66,-33,-56,-48,-22,-18,-8,-20,-12,-62,-49,-32,-53
2002/11/01,-25,0,0,0,0,0,-25,0,0,0,0,-1,-13,-26,4,-33,-18,-18,-16,-32,5,-5,-1,-1
2002/12/01,-11,0,0,0,0,0,-21,0,0,0,0,-18,-23,-61,-35,-11,-9,-55,-55,-33,-26,-45,-47,-30
2003/01/01,-47,0,0,0,0,0,-66,0,0,0,0,-16,-50,-33,-28,-27,-25,-38,-37,-39,-21,-35,-23,-22
2003/02/01,-62,0,0,0,1,0,-6,0,0,0,0,-39,-12,-21,-41,-19,1,-29,-53,-59,-41,-28,-41,-55
2003/03/01,-39,0,0,0,0,0,-27,0,0,0,0,-21,-37,-51,-29,-2,-14,-41,-49,-38,-33,-22,-40,-14
2003/04/01,-23,0,0,0,0,0,-25,0,0,0,0,-34,-33,-35,-53,-19,-11,-38,-42,-37,-53,-16,-19,-41
2003/05/01,-49,2,0,0,0,0,-33,0,0,0,0,-17,-17,-22,-9,-12,-12,-3,-26,-13,-8,-6,-12,-16
2003/06/01,-10,0,0,0,0,0,-4,0,0,0,0,-11,-54,7,-57,-21,3,7,-49,-17,-42,-16,-26,-35
2003/07/01,-35,0,0,0,0,0,-7,0,0,0,0,-49,-18,-28,-21,-24,-17,-13,-11,6,-21,-17,-5,-40
2003/08/01,-86,0,0,0,0,0,-12,0,0,0,0,-4,-27,-11,-12,-24,-13,-25,-26,-2,-14,-20,-18,-7
2003/09/01,-66,0,0,0,0,0,-28,0,0,0,0,-21,-18,-28,-28,-41,-18,-27,-14,-34,-28,-10,-19,-36
2003/10/01,-37,0,0,0,0,0,-36,0,0,0,0,-20,-63,-47,-24,-20,-39,-3,-49,-70,-19,-35,-37,-27
2003/11/01,-53,0,0,0,0,0,-7,0,0,0,0,-39,1,-9,-18,-50,-22,-20,-10,-24,-24,-39,-26,-27
2003/12/01,-29,0,0,0,0,0,-8,0,0,0,0,-7,-10,7,-2,10,-12,-15,-33,-1,-17,3,3,-9
2004/01/01,-70,0,0,0,0,0,-9,0,0,0,0,-28,10,-1,-16,-24,-42,-22,-34,-22,-7,-20,-20,-17
2004/02/01,-36,0,0,0,0,0,-5,0,0,0,0,-20,-23,-40,-21,-36,0,-2,-38,-33,-16,-58,-61,-25
2004/03/01,-37,0,0,0,0,0,-2,0,0,0,0,-37,-25,-33,-25,16,-24,-52,-9,-9,-55,-59,-62,-52
2004/04/01,-9,0,0,0,0,0,-12,0,0,0,0,-57,-54,-27,-31,-28,-27,-13,-69,-56,-34,-43,-30,-46
2004/05/01,-37,0,0,0,0,0,-21,0,0,0,0,-9,-34,-25,-14,-25,-9,-5,-39,-20,-9,-48,-53,-12
2004/06/01,-37,0,0,0,0,0,-7,0,0,0,0,-35,-32,-13,-30,-49,1,-28,-39,-10,-31,-8,-27,-18
2004/07/01,-21,-1,0,0,0,0,8,0,0,0,0,-20,-24,-19,-19,-6,-20,-18,-15,-35,-25,2,-2,-30
2004/08/01,-49,0,0,0,0,0,-36,0,0,0,0,-36,-18,-75,-14,-12,-24,-23,-13,-40,-47,-23,-18,-49
2004/09/01,-79,0,0,0,0,0,-17,0,0,0,0,-29,-34,-60,-20,-41,-20,-29,-56,-40,-22,-21,-26,-35
2004/10/01,-65,0,0,0,0,0,-17,0,0,0,0,-31,-35,-15,-3,-29,-22,-15,-34,-43,-6,-3,-8,-23
2004/11/01,-27,0,0,0,0,0,-23,0,0,0,0,-11,-25,-77,-19,-39,-25,-41,-60,-18,-26,-7,-8,-20
