Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,79.5,80.75,77.875,78.3125,13458200,26.499578
2000-01-04,77.375,78.1875,76.5,76.8125,14510800,25.992004
2000-01-05,78.0,81.75,77.8125,81.0,17485000,27.408981
2000-01-06,80.625,85.8125,80.1875,85.1875,19461600,28.825958
2000-01-07,85.9375,86.25,84.0,84.9375,16603800,28.741362
2000-01-10,84.1875,84.625,83.5625,83.75,8545400,28.339533
2000-01-11,83.75,85.25,83.625,84.0,8722600,28.424129
2000-01-12,83.25,84.375,82.8125,83.5,10314200,28.254937
2000-01-13,83.5,86.0,83.125,85.4375,12056000,28.910553
2000-01-14,85.5,85.5,83.0,83.75,11268800,28.339533
2000-01-18,82.75,85.5,82.375,84.75,11929400,28.677915
2000-01-19,84.25,85.875,83.6875,85.5625,13088800,28.952851
2000-01-20,85.1875,85.25,82.6875,83.6875,9613400,28.318384
2000-01-21,84.0,85.1875,83.3125,85.0,14343600,28.762511
2000-01-24,85.4375,86.3125,83.0,84.25,12459400,28.508724
2000-01-25,84.0,86.125,83.8125,84.0625,11921600,28.445277
2000-01-26,84.0625,84.5625,82.6875,83.5,9298000,28.254937
2000-01-27,83.3125,83.3125,79.75,81.0,10548400,27.408981
2000-01-28,80.0,81.0,78.875,78.875,10361000,26.689918
2000-01-31,78.625,83.5625,77.875,82.875,14612200,28.043448
2000-02-01,83.3125,83.4375,81.375,83.1875,10665400,28.149193
2000-02-02,83.25,84.875,83.25,83.8125,11562800,28.360682
2000-02-03,83.4375,84.0,80.0625,82.375,11610800,27.874257
2000-02-04,83.5,83.5,80.0625,80.875,11436200,27.366683
2000-02-07,79.5,81.25,79.5,80.75,7101200,27.324385
2000-02-08,81.0,81.875,78.6875,78.9375,9372000,26.711067
2000-02-09,76.75,77.3125,76.0,76.25,12408200,25.946291
2000-02-10,76.25,77.6875,75.3125,75.875,13475600,25.818686
2000-02-11,76.0,76.6875,72.6875,73.875,12465800,25.138127
2000-02-14,74.5,76.9375,74.4375,76.4375,9753600,26.010093
2000-02-15,77.75,80.5625,77.4375,79.3125,10783600,26.988396
2000-02-16,79.0,80.375,78.375,80.0,10264200,27.222338
2000-02-17,79.0,79.0,77.3125,77.875,11678400,26.499244
2000-02-18,77.3125,77.375,75.0,75.0,13800600,25.520942
2000-02-22,76.25,76.9375,74.5,75.4375,10854800,25.669814
2000-02-23,74.125,75.8125,73.125,74.625,8881600,25.393337
2000-02-24,72.6875,73.4375,71.5,72.8125,10786400,24.776581
2000-02-25,72.5625,74.375,70.0,71.0625,11800600,24.181092
