,date,return_SPY,vol_SPY,RSI_SPY,label,return_AAPL,vol_AAPL,RSI_AAPL,return_MSFT,vol_MSFT,RSI_MSFT,return_XOM,vol_XOM,RSI_XOM,return_JNJ,vol_JNJ,RSI_JNJ,return_GE,vol_GE,RSI_GE,return_BRK-B,vol_BRK-B,RSI_BRK-B,return_AMZN,vol_AMZN,RSI_AMZN,return_WFC,vol_WFC,RSI_WFC,return_JPM,vol_JPM,RSI_JPM,return_T,vol_T,RSI_T
31,2000-02-16,0.00807899,1.22603405,38.5633707,1.0,0.02169200,3.52553372,56.3898457,-0.0050125,2.31228611,29.4664836,0.01607717,2.08171111,65.8420752,0.03298471,2.01054507,41.7501394,0.01958955,1.73919649,37.6999218,0.03092107,1.72258783,47.8512895,-0.0093617,5.10635750,37.4389366,0.01003344,2.85731966,39.4574019,0.01170960,2.10798857,44.2380332,0.009375,2.09542823,29.2936336
32,2000-02-17,0.00044523,1.14686406,38.7196414,1.0,-0.0217622,3.49056973,54.0429719,-0.0075566,2.22072333,28.8679346,0.0,2.04620315,65.8420752,0.00856697,2.04890575,43.2206678,-0.0128090,1.67922233,36.0331036,0.08487555,1.64300966,58.7465145,-0.0206185,4.97907647,36.2789929,-0.0182119,2.63753450,38.1153443,-0.0046296,1.96307407,43.4608948,-0.0356037,2.02371813,26.3232815
33,2000-02-18,-0.0111259,1.06488889,36.2379997,1.0,-0.0048833,3.42454226,53.5164504,0.01522842,2.17436575,31.8495710,-0.0213607,2.01927800,61.1856169,-0.0301158,1.99287158,39.4208632,-0.0287300,1.64268934,32.5965227,-0.0241176,1.89114550,54.9361410,-0.0394736,4.46703388,34.1429943,-0.0623946,2.67586953,33.9343811,-0.0317828,1.96080705,38.4856210,-0.0224719,1.99631484,24.6826489
34,2000-02-22,-0.0265526,1.09453157,31.1619179,1.0,-0.0392584,3.36451470,49.3722760,-0.04875,2.19325615,27.7747588,-0.0137429,1.97830104,58.3858022,-0.0063694,2.03695930,38.6698419,-0.0362597,1.72396285,28.9514371,-0.0174804,1.89733316,52.3497147,-0.0511415,4.56019675,31.6459616,-0.0287769,2.87822092,32.2851474,-0.0264211,2.06081905,35.0114984,-0.0213464,2.03881380,23.2345270
35,2000-02-23,0.00323624,1.16662741,32.3722924,1.0,0.02823431,3.19305984,52.1305910,-0.0170827,2.24990657,26.5551616,-0.0278688,1.80447255,53.1476436,0.00160256,1.91747561,38.9828121,0.02970297,1.73129161,35.1197781,-0.0061348,1.79323300,51.4502011,-0.0009624,4.52909103,31.6015162,0.01481481,2.77740444,34.0120258,0.01809189,2.03005371,38.9669843,-0.0335570,2.10996870,21.1761207
36,2000-02-24,0.00783410,1.03636071,35.3455007,1.0,0.03601556,3.09719153,55.5512128,0.00802139,2.15916986,28.1238741,-0.0193929,1.82948994,49.8870771,-0.04,1.83206937,34.2739328,0.00240396,1.72472719,35.6214028,-0.0092593,1.78635991,50.0606427,0.08766859,4.25555795,39.8767023,-0.0328467,2.75247717,32.0326086,-0.0016154,2.08462315,38.7361771,-0.015625,2.20780027,20.3043860
37,2000-02-25,-0.0109739,1.05250287,33.1309694,1.0,-0.0213106,3.01912265,53.0486856,0.00464190,2.12897486,29.0755293,-0.0017196,1.87681055,49.6021092,-0.0325,1.83827493,31.1166300,-0.0062348,1.69590044,34.8666480,-0.0380062,1.71785656,44.7657822,-0.0442869,4.28651757,37.2126933,0.00188679,2.81310629,32.2684435,-0.0080907,1.96400591,37.5388267,0.01587301,2.25522811,23.6875123
38,2000-02-28,-0.0134073,1.06122048,30.6334173,1.0,-0.0408274,3.05758464,48.6255077,-0.0468646,2.05476180,25.4018199,-0.0215331,1.86264236,46.0602676,-0.0077519,1.91524626,30.4202008,-0.0270271,1.71530307,31.7461416,-0.0382123,1.81661104,40.3233463,-0.0129749,4.38429660,36.4778605,0.00564971,2.77531846,33.0193105,0.00163153,1.97609326,37.9519667,-0.0069444,2.21956008,23.2158081
39,2000-02-29,0.02014995,1.10302986,38.0862698,1.0,0.03121461,3.17558132,51.7994518,0.01662049,2.08424931,28.6821171,0.03521126,1.92440955,51.9697385,0.01736111,1.93886679,33.9575640,0.03670646,1.75988258,39.4570631,-0.0033670,1.91581671,39.9614194,-0.0084507,4.28328624,35.9859014,0.02247191,2.56522847,36.0721685,0.01221498,1.91277158,41.0983039,0.04020979,2.15650133,31.6447786
40,2000-03-01,0.01148369,1.12260821,41.9887498,1.0,0.04402856,3.08504037,56.0524637,-0.0231607,2.04983061,26.8788969,0.02551020,1.96194012,55.8743421,-0.0136518,1.99673716,32.5326439,0.02200945,1.87679562,43.7139032,-0.0290540,1.88916152,36.8944654,0.02462121,4.21841708,38.5636499,-0.0311355,2.31620589,33.7269343,0.02815757,1.82167801,47.7553144,0.07731092,2.20203839,44.7160167
