Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,93.125,93.75,91.5625,92.1875,4642400,30.652501
2000-01-04,91.125,91.5625,88.75,88.8125,7822200,29.530308
2000-01-05,88.8125,90.8125,88.4375,89.75,8229600,29.842028
2000-01-06,90.3125,93.9375,90.125,92.5625,5356400,30.777189
2000-01-07,94.125,96.9375,93.625,96.5,9863800,32.086415
2000-01-10,96.6875,96.9375,94.0625,94.0625,4928600,31.275942
2000-01-11,93.0,94.9375,92.9375,94.375,6153000,31.379849
2000-01-12,93.875,95.0625,93.1875,93.5,5163200,31.08891
2000-01-13,93.9375,96.0,93.0625,93.375,4659200,31.047347
2000-01-14,93.9375,94.375,92.8125,93.6875,5404800,31.151254
2000-01-18,92.0,93.0625,91.0625,91.3125,4870000,30.361562
2000-01-19,91.0,92.0625,90.625,91.625,5507400,30.465469
2000-01-20,92.25,92.3125,90.0625,91.9375,4823400,30.569376
2000-01-21,91.75,91.75,89.625,89.875,8538000,29.883591
2000-01-24,90.125,90.1875,83.5625,83.6875,11304200,27.826237
2000-01-25,83.875,86.9375,83.5625,85.25,12956800,28.345771
2000-01-26,86.25,86.875,83.0625,83.5,9491400,27.763893
2000-01-27,83.75,83.9375,80.5,80.5,12406600,26.766388
2000-01-28,80.875,85.1875,80.875,84.5,12340000,28.096394
2000-01-31,85.1875,86.75,82.8125,86.0625,9055200,28.615928
2000-02-01,85.4375,85.5,84.375,84.8125,6079200,28.200301
2000-02-02,85.5,86.3125,84.9375,85.375,5791600,28.387333
2000-02-03,85.0,85.0,81.875,83.3125,10237200,27.701549
2000-02-04,83.125,83.625,81.8125,82.125,6906000,27.306703
2000-02-07,81.5625,82.0,81.0,81.4375,5822000,27.078108
2000-02-08,82.4375,83.0,81.25,82.0625,6125400,27.285922
2000-02-09,82.0625,82.125,79.6875,80.0,12422600,26.600137
2000-02-10,79.8125,80.375,77.5,78.0,11344800,25.935133
2000-02-11,77.75,78.4375,75.9375,77.4375,10233200,25.840864
2000-02-14,76.9375,78.25,76.6875,77.625,7373000,25.903433
2000-02-15,77.6875,80.25,77.5,79.6875,9863400,26.591688
2000-02-16,80.25,80.625,78.9375,79.8125,9247200,26.6334
2000-02-17,80.9375,81.125,78.75,79.1875,5774400,26.424838
2000-02-18,78.5,78.9375,76.875,77.4375,8246200,25.840864
2000-02-22,78.0,79.0625,76.75,78.625,7307400,26.237132
2000-02-23,78.125,78.3125,76.125,76.125,8293200,25.402883
2000-02-24,75.0,75.25,72.0,73.75,18512800,24.610347
2000-02-25,72.5625,72.625,70.3125,72.0,13221400,24.026372
2000-02-28,72.0,72.9375,70.0625,72.75,13537800,24.276647
2000-02-29,73.25,73.4375,71.25,72.0,10183200,24.026372
2000-03-01,72.25,73.375,71.0625,73.375,9397200,24.485209
2000-03-02,73.0,74.9375,72.625,73.6875,6793000,24.58949
2000-03-03,74.25,74.25,72.25,73.5,5794600,24.526922
2000-03-06,72.9375,72.9375,70.25,70.5,7631400,23.525823
2000-03-07,70.5,70.5,66.125,68.5,16526400,22.858424
2000-03-08,67.6875,71.75,67.25,71.0,12836800,23.692673
2000-03-09,71.0,73.0,69.9375,72.6875,9665400,24.255791
2000-03-10,72.6875,73.75,69.875,70.875,8722200,23.65096
2000-03-13,69.625,71.5625,69.3125,70.0,5762600,23.358973
2000-03-14,71.8125,74.625,71.75,72.75,10342200,24.276647
