Tickers,,,,Apple Inc.,AAPL,3.167191
^VIX,,,,Microsoft Corporation,MSFT,2.227167
AAPL,,,,Exxon Mobil Corporation,XOM,1.992061
MSFT,,,,Johnson & Johnson,JNJ,1.70551
FB,,,,General Electric Company,GE,1.578272
T,,,,Berkshire Hathaway Inc. Class B,BRK.B,1.507842
GOOGL,,,,Facebook Inc. Class A,FB,1.366324
GOOG,,,,Amazon.com Inc.,AMZN,1.303772
VZ,,,,Wells Fargo & Company,WFC,1.287731
V,,,,JPMorgan Chase & Co.,JPM,1.284442
INTC,,,,,,
CSCO,,,,,,
IBM,,,,,,
ORCL,,,,,,
MA,,,,,,
QCOM,,,,,,
ACN,,,,,,
TXN,,,,,,
AVGO,,,,,,
EMC,,,,,,
CRM,,,,,,
ADBE,,,,,,
PYPL,,,,,,
ADP,,,,,,
CTSH,,,,,,
YHOO,,,,,,
HPE,,,,,,
INTU,,,,,,
EBAY,,,,,,
AMAT,,,,,,
TEL,,,,,,
FISV,,,,,,
HPQ,,,,,,
GLW,,,,,,
EA,,,,,,
NVDA,,,,,,
ADI,,,,,,
FIS,,,,,,
ATVI,,,,,,
APH,,,,,,
CTL,,,,,,
PAYX,,,,,,
LVLT,,,,,,
SNDK,,,,,,
ADSK,,,,,,
SWKS,,,,,,
RHT,,,,,,
CTXS,,,,,,
LRCX,,,,,,
MSI,,,,,,
MU,,,,,,
XLNX,,,,,,
ADS,,,,,,
KLAC,,,,,,
LLTC,,,,,,
SYMC,,,,,,
GPN,,,,,,
MCHP,,,,,,
WDC,,,,,,
WU,,,,,,
HRS,,,,,,
XRX,,,,,,
AKAM,,,,,,
CA,,,,,,
TSS,,,,,,
VRSN,,,,,,
JNPR,,,,,,
STX,,,,,,
FFIV,,,,,,
NTAP,,,,,,
FTR,,,,,,
QRVO,,,,,,
FSLR,,,,,,
FLIR,,,,,,
CSRA,,,,,,
TDC,,,,,,
